,Formula,FW,DSSTox_CID,SR-HSE,ID,SMILES,Molecule,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
2099,C24H28N2O7S2,520.6183,24217,0.0,NCGC00167505-02,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1.CS(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08aefcf0>,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2100,C6H6O6,174.1082,28632,0.0,NCGC00013082-04,O=C(O)/C=C(\CC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08aefe40>,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2101,C5H9NO4S,179.1943,2738,0.0,NCGC00263559-01,NC(CSCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08aeff20>,,0.0,,,,,,,,,
2102,C34H63N5O9,685.8921,26095,0.0,NCGC00161670-06,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5040>,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2103,C14H11NO4,257.2414,26406,0.0,NCGC00164513-02,O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5120>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,C7H7NO2,137.136,4466,0.0,NCGC00091051-04,Nc1ccc(C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5200>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2105,C7H7NO2,137.136,94,0.0,NCGC00091175-03,Nc1ccccc1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08af52e0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2106,C6H5NO3,139.1088,31543,0.0,NCGC00253617-01,O=C(O)c1ccc(O)nc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af53c0>,,0.0,,,,,,,,,
2107,C18H23N3O6,377.3917,31639,0.0,NCGC00274279-01,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)CC1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08af54a0>,,0.0,,,,,,,,,
2108,C14H12O2,212.2439,25389,0.0,NCGC00016660-06,O=C(O)Cc1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af55f0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2109,C8H8O2,136.1479,1656,0.0,NCGC00159477-05,O=C(O)Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af56d0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,C6H10O4,146.1412,1605,0.0,NCGC00091345-04,O=C(O)CCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08af57b0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111,C5H9NO3S,163.1949,3678,0.0,NCGC00159422-04,CC(S)C(=O)NCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5890>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,C14H12O2,212.2439,144,0.0,NCGC00091396-05,O=C(c1ccccc1)C(O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5970>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2113,C21H27NO3S2,405.574,31532,0.0,NCGC00261971-01,CN1C2CCC(C)(C)C1CC(OC(=O)C(O)(c1cccs1)c1cccs1)C2,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5a50>,,0.0,,,,,,,,,
2114,C10H12O3,180.2005,31618,0.0,NCGC00253766-01,CCOC(=O)C(O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5ba0>,,0.0,,,,,,,,,
2115,C20H25NO3,327.4174,2644,0.0,NCGC00159434-04,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5c80>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2116,C21H27NO2,325.4446,25656,0.0,NCGC00024643-10,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5d60>,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2117,C18H21NO,267.3654,25280,0.0,NCGC00016366-04,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5e40>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,C21H27NO,309.4452,2950,0.0,NCGC00016624-05,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08af5f20>,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2119,C3H11NO7P2,235.0695,3414,0.0,NCGC00165862-02,NCCC(O)(P(=O)(O)O)P(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa040>,,0.0,,,,,,,,,
2120,C20H25NO,295.4186,25090,0.0,NCGC00013289-09,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa120>,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0
2121,C8H11NO2,153.1784,23873,0.0,NCGC00015760-12,NCC(O)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa200>,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2122,C13H20N2O2,236.3101,25624,0.0,NCGC00018230-09,OCC(O)CN1CCN(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa2e0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2123,C23H32N2O6,432.51,31595,0.0,NCGC00253761-01,COc1ccccc1N1CCN(CC(O)COc2cc(OC)c(OC)c(OC)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa3c0>,,0.0,,,,,,,,,
2124,C13H12F2N6O,306.2708,627,0.0,NCGC00095089-10,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa4a0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,C9H13NO2,167.205,10588,0.0,NCGC00015924-12,CNCC(O)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa580>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,C21H44O3,344.5723,8956,0.0,NCGC00095748-04,CCCCCCCCCCCCCCCCCCOCC(O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa660>,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2127,C5H8Cl3NO3,236.4809,26233,0.0,NCGC00160563-02,CCOC(=O)NC(O)C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa740>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,C10H21NO4,219.278,25618,0.0,NCGC00024452-04,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa820>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,C12H24O11,344.3124,24247,0.0,NCGC00263893-02,OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa900>,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2130,C6H4O6,172.0924,25897,0.0,NCGC00095043-07,O=C1C(O)=C(O)C(=O)C(O)=C1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08afa9e0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,C15H13N3O4S,331.3464,1170,0.0,NCGC00015823-17,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7fad08afaac0>,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2132,C13H11N3O4S2,337.3741,25486,0.0,NCGC00016889-06,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7fad08afaba0>,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2133,C11H14ClNO,211.688,31522,0.0,NCGC00253709-01,OC1(c2ccc(Cl)cc2)CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afac80>,,0.0,,,,,,,,,
2134,C11H15NO,177.2429,31527,0.0,NCGC00253684-01,OC1(c2ccccc2)CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afad60>,,0.0,,,,,,,,,
2135,C13H17NO4,251.2784,26490,0.0,NCGC00164629-02,C=CCc1cc(OC)c(O)c(C(=O)NCCO)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08afae40>,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,C7H7Cl2NO,192.0426,21793,0.0,NCGC00095166-04,Cc1nc(C)c(Cl)c(O)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad08afaf20>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,C10H7Cl2NO,228.0747,28924,0.0,NCGC00095795-06,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01040>,0.0,0.0,,,0.0,1.0,,1.0,,1.0,1.0
2138,C8H11NO3,169.1778,3541,0.0,NCGC00016261-08,Cc1ncc(CO)c(CO)c1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01120>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,C10H13ClO,184.6626,21547,0.0,NCGC00159384-04,Cc1cc(O)c(C(C)C)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01200>,0.0,0.0,,0.0,0.0,1.0,,0.0,,0.0,
2140,C24H40N2O10S,548.6468,25437,0.0,NCGC00016010-09,CC(C)(C)NCC(O)c1cc(O)cc(O)c1.CC(C)(C)NCC(O)c1cc(O)cc(O)c1.O=S(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b012e0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2141,C22H36N2O10S,520.5936,25391,0.0,NCGC00015655-09,CC(C)NCC(O)c1cc(O)cc(O)c1.CC(C)NCC(O)c1cc(O)cc(O)c1.O=S(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b013c0>,,0.0,,,,,,,,,
2142,C12H18O2,194.2701,699,0.0,NCGC00091208-09,CCCCCCc1ccc(O)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01510>,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2143,C22H31NO,325.4876,3687,0.0,NCGC00263557-01,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b015f0>,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2144,C10H13NO3,195.2151,3315,0.0,NCGC00015701-06,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b016d0>,,0.0,,,,,,,,,
2145,C9H11NO3,181.1885,3730,0.0,NCGC00344525-01,N[C@@H](Cc1ccc(O)cc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b017b0>,,0.0,,,,,,,,,
2146,C11H13NO4,223.2252,26045,0.0,NCGC00159393-03,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01890>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,C9H10O3,166.1739,2528,0.0,NCGC00160654-06,CCOC(=O)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01970>,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2148,C11H14O3,194.2271,209,0.0,NCGC00016354-11,CCCCOC(=O)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01a50>,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2149,C11H16O,164.2441,1771,0.0,NCGC00091655-05,CCC(C)(C)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01b30>,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2150,C12H16O7,272.2512,20152,0.0,NCGC00166076-07,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01c10>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151,C6H6O4S,174.1744,26421,0.0,NCGC00164534-02,O=S(=O)(O)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01d60>,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0
2152,C8H10AsNO5,275.0903,25847,0.0,NCGC00094812-05,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01e40>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,C9H13NO3,183.2044,26349,0.0,NCGC00016542-06,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b01f20>,,0.0,,,,,,,,,
2154,C16H23NO15,469.3515,27783,0.0,NCGC00159406-12,NC[C@H](O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06040>,,0.0,,,,,,,,,
2155,C9H11NO3,181.1885,28636,0.0,NCGC00160472-02,CNCC(=O)c1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06120>,,0.0,,,,,,,,,
2156,C9H10O4,182.1733,31521,0.0,NCGC00253717-01,CCOC(=O)c1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06200>,,0.0,,,,,,,,,
2157,C27H30O16,610.5175,2326,0.0,NCGC00160628-03,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b062e0>,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2158,C12H17NO3,223.2683,3007,0.0,NCGC00015397-10,CCN(CC)C(=O)c1ccc(O)c(OC)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b063c0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,C8H8O3,152.1473,1969,0.0,NCGC00091645-07,COc1cc(C=O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b064a0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,C10H15NO,165.2322,26096,0.0,NCGC00160162-04,CN(C)CCc1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06580>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2161,C8H11NO,137.179,23874,0.0,NCGC00016011-14,NCCc1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06660>,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,C8H11NO2,153.1784,2420,0.0,NCGC00015519-11,NCCc1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06740>,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2163,C7H7ClO,142.5829,1717,0.0,NCGC00091338-06,Cc1cc(O)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06820>,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2164,C6H5ClO,128.5563,1871,0.0,NCGC00090814-07,Oc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06900>,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2165,C9H11NO2,165.1891,26419,0.0,NCGC00164532-02,CCC(=O)Nc1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b069e0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2166,C8H9NO2,151.1626,6,0.0,NCGC00016361-12,CC(=O)Nc1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06ac0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2167,C8H9NO2,151.1626,2089,0.0,NCGC00091423-08,CC(=O)Nc1cccc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06ba0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,C6H6O2,110.1106,1238,0.0,NCGC00091501-06,Oc1cccc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06c80>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,C6H6O,94.1112,1124,0.0,NCGC00091454-07,Oc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06d60>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,C9H10O3,166.1739,1958,0.0,NCGC00181161-03,CCOC(=O)c1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06e40>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,C15H22O3,250.3334,20734,0.0,NCGC00159324-04,CCCCC(CC)COC(=O)c1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b06f20>,,0.0,,,,,,,,,
2172,C8H6N2O2,162.1454,31397,0.0,NCGC00253631-01,Oc1ccccc1-c1nnco1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c040>,,0.0,,,,,,,,,
2173,C14H12O3,228.2433,11980,0.0,NCGC00017352-24,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c120>,1.0,1.0,,1.0,,1.0,1.0,,,1.0,0.0
2174,C13H11NO3,229.2313,1994,0.0,NCGC00095933-04,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c200>,0.0,0.0,,1.0,,,1.0,0.0,,1.0,0.0
2175,C18H23NO3,301.3801,2958,0.0,NCGC00015321-11,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c2e0>,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
2176,C19H25NOS,315.4729,26772,0.0,NCGC00168748-02,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c3c0>,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
2177,C14H10O3,226.2274,4538,0.0,NCGC00091330-07,O=C1c2c(O)cccc2Cc2cccc(O)c21,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c4a0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,C14H13NO,211.2591,26174,0.0,NCGC00160475-02,Oc1ccccc1C=NCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c580>,,0.0,,,,,,,,,
2179,C13H10O3,214.2167,1957,1.0,NCGC00090887-04,O=C(Oc1ccccc1)c1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c660>,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,C5H4N4O,136.1115,2573,0.0,NCGC00094580-04,Oc1ncnc2[nH]ncc12,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c740>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,C18H24O3,288.3814,2366,0.0,NCGC00274080-01,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c820>,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2182,C18H22O2,270.3661,2367,0.0,NCGC00023643-15,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0c970>,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2183,C14H8O4,240.2109,328,0.0,NCGC00091367-05,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0cac0>,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2184,C10H12N4O5,268.2261,25993,0.0,NCGC00096119-02,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0cba0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,C22H28O5,372.4547,3260,0.0,NCGC00182851-02,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0ccf0>,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2186,C21H27FO6,394.4339,20742,0.0,NCGC00178404-03,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0cdd0>,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2187,C21H26O5,358.4281,1185,0.0,NCGC00090766-07,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0ceb0>,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2188,C21H28O5,360.444,2857,0.0,NCGC00023939-11,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b0cf90>,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2189,C22H29ClO5,408.9157,20750,0.0,NCGC00179392-03,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b120b0>,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2190,C22H28F2O5,410.4515,25365,0.0,NCGC00021761-05,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b12190>,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
2191,C21H30O5,362.4599,714,0.0,NCGC00022848-17,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b12270>,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2192,C21H29FO5,380.4504,3061,0.0,NCGC00274078-01,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,<rdkit.Chem.rdchem.Mol object at 0x7fad08b12350>,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2193,C22H30O5,374.4706,3300,0.0,NCGC00022735-06,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,<rdkit.Chem.rdchem.Mol object at 0x7fad08b12430>,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2194,C21H27FO5,378.4345,26067,0.0,NCGC00159474-03,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b12510>,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
2195,C21H28O5,360.444,1184,0.0,NCGC00179649-06,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fad08b125f0>,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2196,C25H36O6,432.5497,25896,0.0,NCGC00274077-01,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7fad08b126d0>,,0.0,,,,,,,,,
2197,C26H38O6,446.5763,25633,0.0,NCGC00024016-03,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7fad08b127b0>,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
